lag,aic,bic,hqic,fpe,best_aic,best_bic,best_hqic,best_fpe,recommended_by_vote
1,-1.5066597272521745,-1.2373890747756442,-1.4044456852948615,0.22164960166692016,True,True,True,True,True
2,-1.483259624558945,-0.9783771511654508,-1.2916082958889832,0.22690019223561056,False,False,False,False,False
3,-1.4473550501629386,-0.7068607558524806,-1.166266434780328,0.23520235987364285,False,False,False,False,False
4,-1.4023628857831592,-0.42625677055573696,-1.0318369836878996,0.24604091023218752,False,False,False,False,False
5,-1.3714506131673228,-0.1597326770229366,-0.9114874243594143,0.25378981040658205,False,False,False,False,False
6,-1.3325770105744088,0.11475274648694134,-0.7831765350538515,0.263887312433023,False,False,False,False,False
7,-1.2954460538647523,0.3874955241135618,-0.6566082916315461,0.2739238359333658,False,False,False,False,False
8,-1.251455027091453,0.6670983718038248,-0.5231799781455979,0.2863176674826357,False,False,False,False,False
9,-1.2241739964066745,0.9299912234055676,-0.4064616607481706,0.29433442106284763,False,False,False,False,False
10,-1.1683862714011384,1.2213907693280674,-0.2612366490299858,0.3113507001163148,False,False,False,False,False
