Date,Cluster,PC1,PC2
2020-10-22,1,1.2434876713934073,0.29897261150859333
2020-10-28,1,1.1587514889457962,-0.00864375931431669
2020-11-04,1,-0.12661249744752973,0.1762098738613158
2020-11-09,0,2.757324135244146,-1.1282220839528228
2021-02-01,1,-1.5908518628914867,-0.7206008994901617
2021-06-17,1,-0.9524023300211925,-1.2876783196463162
2022-03-01,1,-1.2684020590046141,0.6315713790863751
2022-03-02,2,3.012093042543952,2.0244023377185196
2022-03-07,1,-2.259921384318932,-0.6609835032293513
2022-06-13,1,-1.312953403984553,-0.4362405645707148
2022-07-28,1,-1.925522116341756,-0.7693826276496483
2022-09-13,2,-0.7114532720970188,2.5279637782065505
2022-11-10,1,-1.6768220334643567,-0.25647440611793343
2022-11-17,1,0.23236187090680083,0.30993894213859385
2022-12-15,2,0.5042899895139079,3.371803173172693
2022-12-20,1,0.1130237677891588,-1.6798809314376826
2023-01-03,1,-2.6312234463110746,-0.12386554486951959
2023-05-11,1,-1.7488339040854006,-1.1274583896333616
2023-10-02,1,-0.30229434501982966,-0.8727725785369443
2023-10-16,1,-1.974398736332932,-0.4776765562995691
2024-02-15,1,-0.04933044137953241,-1.4179757800452428
2024-04-10,1,0.37285245748391277,-0.5298588403498802
2024-04-30,1,-2.2866180196669608,-0.601500078635548
2024-08-05,0,1.7808543563779198,-1.7621915700477486
2024-11-06,1,-1.5819982179847707,-0.7645241114308587
2024-12-18,0,2.117140121269958,-1.2148918751601288
2025-01-13,1,0.056380395745632576,-1.0285810760703118
2025-02-03,1,-1.8045258037108922,-0.6684908397082631
2025-04-03,1,0.97449550008296,0.08519038275417776
2025-04-08,2,0.39410073467751494,3.2652667368761166
2025-07-08,0,3.9374811846523574,-0.685975352543188
2025-07-09,2,2.4176370972219874,4.888163069083128
2025-07-31,0,5.961246680109147,-3.0078882094469623
2025-09-02,2,0.3016142031351823,1.3130045620152508
2025-11-13,1,-0.867791105102285,-0.27802119325603303
2025-11-17,2,-0.4059129158976926,2.0407001232474524
2025-11-24,2,-1.359472195395563,2.4808271230117067
2025-12-29,1,-0.4977946066353684,-1.9042350012379632
