Date,Baseline,InitialResponse,Peak,PeakHorizon,HalfLife,DurationAboveHalf,AUC,MaxHorizonUsed
2020-10-22,0.34382095743141505,1.1629403041113353,2.5302432688655596,9,2.0,9,15.027130019067274,20
2020-10-28,0.26922222634458565,1.5231468715586218,2.604841999952389,6,2.0,8,14.900864039333083,20
2020-11-04,0.3085974249140655,1.254466066502324,2.565466801382909,2,5.0,6,12.45282159255472,20
2020-11-09,1.1165095040267365,1.7575547222702381,1.7575547222702381,0,3.0,5,16.4016079433836,20
2020-11-10,2.8740642262969747,-0.013815275005678807,2.7154920229586836,3,,21,46.6095298777041,20
2020-11-11,2.860248951291296,-0.6958677935869111,2.701676747953005,2,,21,48.59565020408208,20
2021-02-01,0.6280723733035314,0.9483494979375513,1.0454493000150507,1,2.0,4,7.086117463739859,20
2021-02-02,1.5764218712410827,0.09709980207749935,1.4076783685482008,5,,21,18.998995061226957,20
2021-06-17,0.6621904952674538,1.2906505123306706,1.2906505123306706,0,1.0,1,7.723276659527108,20
2022-03-01,1.1091387935396577,0.6451159227480894,1.5166249054487926,1,3.0,14,10.692238681264962,20
2022-03-02,1.754254716287747,0.8715089827007032,1.5851618342826654,20,2.0,20,22.530986188044913,20
2022-03-07,0.7834896142926343,0.6437230916929829,0.6437230916929829,0,1.0,7,5.514090987796811,20
2022-06-13,0.20108727058836395,1.4486003041320672,1.4486003041320672,0,1.0,6,11.234768101881278,20
2022-07-28,0.29794363122508066,1.1771931169806722,1.1771931169806722,0,1.0,4,7.332975543574385,20
2022-09-13,1.0617226778412716,0.7771536433140349,0.8550569555931528,16,7.0,18,12.153747725546927,20
2022-11-10,0.4871495432216174,1.045459733001647,1.2515543106143863,1,2.0,6,9.607354048777392,20
2022-11-14,1.5326092762232644,0.2060945776127392,1.3537930010564825,5,,21,18.228474816713028,20
2022-11-17,0.7031724659256801,0.9745237890906758,1.1772698908509125,17,1.0,7,10.191636694942988,20
2022-12-15,1.1090973103188349,0.526664441606882,0.9511700757481403,18,14.0,19,12.639942701321932,20
2022-12-20,0.5986362449835612,1.2818061117930313,1.2818061117930313,0,1.0,2,6.960326568076154,20
2023-01-03,0.7319024097553807,0.7530919638332109,0.7530919638332109,0,2.0,8,6.989627591181081,20
2023-05-11,0.3923975422295739,1.1407737274601284,1.1407737274601284,0,1.0,2,5.894038986592773,20
2023-10-02,0.40964018927268353,1.5902821111075507,1.5902821111075507,0,2.0,5,8.827131535017376,20
2023-10-03,1.9999223003802342,-0.4398207115285633,1.8559112379926648,4,,21,27.38604705354105,20
2023-10-16,0.5352364700416534,0.9575949048728778,1.123189197807734,1,2.0,5,6.920108647937667,20
2023-10-17,1.4928313749145312,0.16559429293485617,1.2563958245517248,18,,21,16.98616402018467,20
2024-02-15,0.5329157213269505,1.464115364461052,1.464115364461052,0,2.0,2,6.693508244129576,20
2024-04-10,0.2948092816193931,1.2435078610401296,1.2564449805942326,11,1.0,5,8.939168077583918,20
2024-04-30,0.41394618116243925,1.1373080810511866,1.1373080810511866,0,1.0,5,6.623462336506717,20
2024-08-05,0.7951895328263966,1.5560155247836978,1.5560155247836978,0,2.0,2,10.545384591476491,20
2024-08-06,2.3512050576100942,-0.32588268654181407,2.169887056009259,20,,21,37.87687027336059,20
2024-11-06,0.38310033194381055,1.6450085555233747,1.699720634768449,1,2.0,2,5.9336279872038125,20
2024-11-07,2.028108887467185,0.054712079245074374,1.7683847466759963,17,,21,30.99526113862567,20
2024-12-18,0.2779709257851859,1.9499733265108257,1.9499733265108257,0,2.0,6,13.577789503932252,20
2024-12-19,2.2279442522960116,-0.40811405203455053,2.044161285062954,6,,21,29.42767803415087,20
2025-01-13,0.3166631081695506,1.3148693262986202,1.3148693262986202,0,1.0,6,10.923918962598659,20
2025-02-03,0.49903222655442997,1.0512528233474816,1.0512528233474816,0,1.0,6,7.246435877453471,20
2025-04-03,0.17018358700800265,2.0987728270956265,2.145371355892221,1,5.0,6,17.495660493554222,20
2025-04-07,2.2689564141036294,0.04659852879659443,1.990278301241804,17,,21,28.055098432740976,20
2025-04-08,2.315554942900224,-0.4994045716414306,2.0368768300383984,16,2.0,20,30.705650981747972,20
2025-04-09,1.8161503712587932,0.09178610065700976,1.5374722583969676,15,,21,22.73431712186916,20
2025-04-10,1.907936471915803,0.3998398928834679,1.6292583590539773,14,,21,25.827145093424953,20
2025-07-08,0.21821096856256908,2.404453061595841,2.6225738093676028,14,2.0,4,14.309732673466723,20
2025-07-09,2.6226640301584103,-0.587768867174236,2.3742555156937786,17,13.0,20,38.78378623528754,20
2025-07-31,0.3248493900316413,2.515935387898531,2.515935387898531,0,2.0,2,11.13979329320403,20
2025-08-04,2.840784777930172,-0.7521830091182045,2.5923762634655403,3,,21,44.61427817724244,20
2025-09-02,1.1612586966544067,0.26857523574251396,0.849805241740946,7,8.0,18,9.749374992318927,20
2025-11-13,0.8329208536002576,0.7540665591078345,1.1460585842136632,2,3.0,8,8.327620964329032,20
2025-11-17,1.586987412708092,0.3035613375293469,1.276343995037872,8,4.0,20,17.480517395859533,20
2025-11-18,1.890548750237439,0.08843068757648198,1.579905332567219,7,,21,22.992155041459704,20
2025-11-24,1.1956880301149178,0.2563801492383029,0.8850446124446978,4,12.0,19,11.103696083979544,20
2025-12-29,0.40567512210166423,1.1337787205345036,1.1337787205345036,0,1.0,2,2.385120145331072,3
